shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,39.5356559753,-0.3546524048,14
3,39.5342674255,-0.3548240662,15
3,39.5332489014,-0.3547167778,16
3,39.532875061,-0.3544378281,17
3,39.5280303955,-0.3518194556,18
3,39.5247001648,-0.3499317169,19
3,39.5237388611,-0.3498029709,20
3,39.5228118896,-0.3499317169,21
3,39.516620636,-0.3531503677,22
3,39.5145683289,-0.3540945053,23
3,39.5122566223,-0.3542666733,24
3,39.5097846985,-0.353949666,25
3,39.5051994324,-0.3536224365,26
3,39.5007629395,-0.352327764,27
3,39.4993400574,-0.3521633148,28
3,39.4989738464,-0.3521203995,29
3,39.4979476929,-0.3524637222,30
3,39.4968223572,-0.3533649445,31
3,39.496181488,-0.3541964293,32
3,39.4956626892,-0.3552222252,33
3,39.4947738647,-0.356913507,34
3,39.4937400818,-0.358171463,35
3,39.4924316406,-0.3587944508,36
3,39.4848518372,-0.3623333275,37
3,39.4838409424,-0.3630638123,38
3,39.4810905457,-0.3597164154,39
3,39.4803924561,-0.360660553,40
3,39.4780044556,-0.361905545,41
3,39.4738998413,-0.3639221191,42
3,39.4731559753,-0.3653166592,43
3,39.4718132019,-0.3687286377,44
3,39.4701461792,-0.3709277809,45
3,39.4669761658,-0.3749513626,46
3,39.4671859741,-0.3773750067,47
3,39.4680709839,-0.3801441193,48
3,39.4689331055,-0.3819036484,49
3,39.4701576233,-0.3835344315,50
3,39.4703025818,-0.3850361109,51
3,39.4681053162,-0.3952932358,52
3,39.4682197571,-0.397574991,53
3,39.4706573486,-0.4076305628,54
3,39.4738235474,-0.418305546,55
3,39.4760093689,-0.4243694544,56
3,39.4776191711,-0.4331833422,57
3,39.481086731,-0.441880554,58
3,39.4848327637,-0.4505681992,59
3,39.4895896912,-0.4590654373,60
3,39.4926490784,-0.4672361016,61
3,39.4923667908,-0.4749194384,62
5,39.5098991394,-0.4304472208,1
5,39.5122032166,-0.424748987,2
5,39.5085601807,-0.4198839962,3
5,39.5072212219,-0.4174583256,4
5,39.5052909851,-0.4163239896,5
5,39.504032135,-0.4124779999,6
5,39.4995765686,-0.4021083415,7
5,39.4971809387,-0.4001416564,8
5,39.4944343567,-0.3968166709,9
5,39.4922904968,-0.3945111036,10
5,39.4900283813,-0.3909277916,11
5,39.4895629883,-0.387258321,12
5,39.4879722595,-0.3838368952,13
5,39.4859657288,-0.3817070127,14
5,39.4864997864,-0.3749722242,15
5,39.4817810059,-0.3731805682,16
5,39.4862709045,-0.3677638769,17
5,39.4848518372,-0.3623333275,18
5,39.4833717346,-0.3579472303,19
5,39.4813156128,-0.3504999876,20
5,39.4796600342,-0.3448249996,21
5,39.47813797,-0.3396222293,22
5,39.4765930176,-0.3342027664,23
5,39.4752044678,-0.3293749988,24
5,39.473690033,-0.3257277906,25
5,39.4689292908,-0.3257277906,26
5,39.4693069458,-0.3281527758,27
5,39.4728546143,-0.3275833428,28
6,39.4649391174,-0.3382369876,1
6,39.4664268494,-0.3429694474,2
6,39.4703330994,-0.3503944576,3
6,39.4726257324,-0.3581166565,4
6,39.4731559753,-0.3653166592,5
6,39.4718475342,-0.36870718,6
6,39.4701461792,-0.3709277809,7
6,39.4670944214,-0.3748226166,8
6,39.467010498,-0.3751659393,9
6,39.4670944214,-0.3758525848,10
6,39.4669876099,-0.3767323494,11
6,39.4668197632,-0.3772687912,12
6,39.4665565491,-0.377805233,13
6,39.4661064148,-0.3782343864,14
6,39.4639778137,-0.3794222176,15
6,39.4617996216,-0.3800582886,16
6,39.4610710144,-0.3807449341,17
6,39.4605751038,-0.3815603256,18
6,39.4600791931,-0.3826761246,19
6,39.4592018127,-0.3845416605,20
6,39.4585533142,-0.3859591484,21
6,39.4575767517,-0.3868818283,22
6,39.4568634033,-0.3875041008,23
6,39.4566307068,-0.3880190849,24
6,39.4565162659,-0.3887271881,25
6,39.456451416,-0.3905083239,26
6,39.4562339783,-0.3946280479,27
6,39.456111908,-0.3956580162,28
6,39.4556808472,-0.3965914249,29
6,39.4555969238,-0.3969025612,30
6,39.4545707703,-0.3983833194,31
6,39.4510345459,-0.4028027654,32
6,39.4408111572,-0.4106472135,33
6,39.4368858337,-0.4136878252,34
6,39.4352073669,-0.414943099,35
6,39.4345741272,-0.4154151678,36
6,39.4334220886,-0.41631639,37
6,39.4330101013,-0.4167187214,38
6,39.4326438904,-0.4172068834,39
6,39.4322624207,-0.4180611074,40
6,39.4305267334,-0.4233384132,41
6,39.4306411743,-0.4252266884,42
6,39.4331207275,-0.4371583462,43
